µbalos;425.667;-27.000
µgreda;418.532;-19.236
µgreda;418.532;-19.236
µguilas;374.060;-15.853
µguilas;374.060;-15.853
µibar;425.948;-13.608
µibar;425.948;-13.608
µlava;433.606;-61.993
µngeles;428.500;-86.667
µnsola;372.496;-37.816
µrbol;428.000;-79.167
µrchez;368.399;-39.921
µvila;406.500;-47.000
µvila;406.500;-47.000
µvila;406.500;-47.000
µvila;406.500;-47.000
µvila;406.572;-46.995
µvila;406.572;-46.995
µvila;406.550;-46.977
µvila;406.571;-46.964
êcija;375.422;-50.826
êcija;375.422;-50.826
êibar;431.848;-24.738
êibar;431.841;-24.724
ênova;390.452;-0.4814
ênova;390.452;-0.4814
êpila;416.005;-12.801
êpila;416.005;-12.801
êzaro;429.167;-91.333
A Coru§a;430.500;-86.667
A Coru§a;433.564;-84.102
A Coru§a;433.666;-84.068
A Coru§a;433.666;-84.068
A Coru§a;433.666;-84.068
A Coru§a;433.666;-84.068
A Coru§a;433.403;-84.054
A Coru§a;433.671;-84.036
A Coru§a;433.696;-84.032
A Coru§a;433.628;-83.997
A Coru§a;433.645;-83.988
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.713;-83.960
A Coru§a;433.686;-83.913
A Coru§a;432.167;-83.333
A Coru§a;436.833;-79.000
A°nsa;424.152;0.1398
A°nsa;424.152;0.1398
A°sa;426.833;-0.6167
AÇs;432.829;-39.567
A§Çzcar;428.646;-17.206
A§ora;384.167;-49.000
A§ora;384.167;-49.000
A§orbe;426.582;-17.138
A§orbe;426.582;-17.138
A§over De Tajo;399.887;-37.658
A§over De Tajo;399.887;-37.658
Ab†rzuza;427.262;-20.219
Ab†rzuza;427.262;-20.219
Abad°a;402.594;-59.773
Abad°a;402.594;-59.773
Abad°n;433.667;-74.833
Abad°n;433.667;-74.833
Abades;409.165;-42.694
Abades;409.165;-42.694
Abadiano;431.508;-26.097
Abadilla;433.147;-38.548
Abaira;434.567;-71.742
Abajo;433.860;-56.189
Abamia;433.333;-50.500
Abanilla;382.000;-10.500
Abanilla;382.054;-10.415
Abanilla;382.000;-0.9833
Abanillas;433.466;-44.618
Abanto;411.375;-16.982
Abar†n;382.055;-13.991
Abar†n;382.055;-13.991
Abarca;420.667;-48.333
Abaurrea Alta;429.000;-12.000
Abdet;386.942;-0.2573
Abedes;419.378;-74.098
Abegondo;432.167;-82.833
Abegondo;432.167;-82.833
Abejar;418.076;-27.841
Abejera;418.000;-61.333
Abeleda;421.667;-77.000
Abelenda;423.424;-81.815
Abell†;430.833;-83.167
Abella De La Conca;421.667;11.000
Aben¢jar;388.833;-43.500
Abenfigo;408.149;-0.2739
Abengibre;392.167;-15.333
Aberin;426.194;-20.073
Abertura;392.435;-58.139
Abi;424.710;0.4301
Abiego;421.209;-0.0687
Abiego;421.209;-0.0687
Abla;371.424;-27.781
Abla;371.424;-27.781
Ablitas;419.745;-16.405
Ablitas;419.745;-16.405
Abrera;415.167;19.000
Abrera;415.168;19.010
Abriojal;369.500;-24.667
Abrucena;371.323;-27.971
Abusejo;407.167;-61.333
Acebes Del P†ramo;424.413;-58.446
Acebes Del P†ramo;424.413;-58.446
Acebo;402.011;-67.169
Acebo;402.011;-67.169
Aceboso;423.000;-72.500
Acebro;433.667;-72.167
Aceca;399.500;-38.500
Acedera;390.758;-55.719
Acehuche;398.026;-66.337
Aceituna;401.501;-63.329
Aceituna;401.501;-63.329
Acequias;369.694;-35.380
Acera De La Vega;426.167;-48.167
Aceuchal;386.463;-64.864
Aceuchal;386.463;-64.864
Adahuesca;421.461;-0.0080
Adamuz;380.267;-45.223
Adamuz;380.267;-45.223
Adana;428.224;-24.749
Adanero;409.449;-46.056
Adeje;281.249;-167.752
Adeje;280.987;-167.428
Adeje;281.198;-167.256
Adeje;281.167;-167.167
Adeje;281.708;-166.423
Ademuz;400.667;-12.833
